Day,Stock Price,Balance,Porfolio,Total Value,Current Stock Percentage,Trade Action,Trade Amount,Trade Ratio
468,$19973.55,$0.00,$1725244.351562164,$1725244.35,100.00%,Hold,$0.00,0.00%
469,$20167.91,$0.00,$1742032.4238265448,$1742032.42,100.00%,Hold,$0.00,0.00%
470,$20273.46,$0.00,$1751149.5252948266,$1751149.53,100.00%,Hold,$0.00,0.00%
471,$20369.73,$0.00,$1759464.9453638769,$1759464.95,100.00%,Hold,$0.00,0.00%
472,$20202.89,$0.00,$1745053.9124334974,$1745053.91,100.00%,Hold,$0.00,0.00%
473,$20393.13,$0.00,$1761486.1879657696,$1761486.19,100.00%,Hold,$0.00,0.00%
474,$20601.10,$0.00,$1779449.789689293,$1779449.79,100.00%,Hold,$0.00,0.00%
475,$20412.52,$0.00,$1763160.9125554522,$1763160.91,100.00%,Hold,$0.00,0.00%
476,$20418.46,$0.00,$1763674.1101178392,$1763674.11,100.00%,Hold,$0.00,0.00%
477,$20611.34,$0.00,$1780334.3047516185,$1780334.30,100.00%,Hold,$0.00,0.00%
478,$20630.66,$0.00,$1782003.1247013658,$1782003.12,100.00%,Hold,$0.00,0.00%
479,$20585.53,$0.00,$1778104.8814160028,$1778104.88,100.00%,Hold,$0.00,0.00%
480,$20640.33,$0.00,$1782838.3781962302,$1782838.38,100.00%,Hold,$0.00,0.00%
481,$20677.80,$0.00,$1786074.9644008302,$1786074.96,100.00%,Hold,$0.00,0.00%
482,$20730.49,$0.00,$1790626.0921590521,$1790626.09,100.00%,Hold,$0.00,0.00%
483,$20885.65,$0.00,$1804028.275180466,$1804028.28,100.00%,Hold,$0.00,0.00%
484,$20895.65,$0.00,$1804892.0396510186,$1804892.04,100.00%,Hold,$0.00,0.00%
485,$20974.18,$0.00,$1811675.1213048287,$1811675.12,100.00%,Hold,$0.00,0.00%
486,$20892.69,$0.00,$1804636.284389816,$1804636.28,100.00%,Hold,$0.00,0.00%
487,$21020.02,$0.00,$1815634.604141522,$1815634.60,100.00%,Hold,$0.00,0.00%
488,$21057.96,$0.00,$1818911.8480096771,$1818911.85,100.00%,Hold,$0.00,0.00%
489,$21108.32,$0.00,$1823261.7118981006,$1823261.71,100.00%,Hold,$0.00,0.00%
490,$21178.58,$0.00,$1829330.5008237234,$1829330.50,100.00%,Hold,$0.00,0.00%
491,$21098.29,$0.00,$1822395.2481635776,$1822395.25,100.00%,Hold,$0.00,0.00%
492,$21129.67,$0.00,$1825105.8153019308,$1825105.82,100.00%,Hold,$0.00,0.00%
493,$21122.45,$0.00,$1824482.1166207525,$1824482.12,100.00%,Hold,$0.00,0.00%
494,$20650.13,$0.00,$1783684.934858971,$1783684.93,100.00%,Hold,$0.00,0.00%
